Year,APIS discharge,APIS discharge uncertainty,EAIS discharge,EAIS discharge uncertainty,WAIS discharge,WAIS discharge uncertainty,AIS discharge,AIS discharge uncertainty
1979,297.8736069,26.45848,1088.169373,68.7587664,663.6097846,42.47446638,2049.652765,137.6917128
1980,298.6968815,26.45848,1091.970576,68.7587664,665.8325243,42.47446638,2056.499982,137.6917128
1981,299.4331562,26.45848,1095.771779,68.7587664,668.0552641,42.47446638,2063.260199,137.6917128
1982,300.1694309,26.45848,1099.572981,68.7587664,670.2780039,42.47446638,2070.020416,137.6917128
1983,300.9057055,26.45848,1103.374184,68.7587664,672.5007437,42.47446638,2076.780633,137.6917128
1984,301.6419802,26.45848,1107.175387,68.7587664,674.7234834,42.47446638,2083.54085,137.6917128
1985,302.3782549,26.45848,1110.97659,68.7587664,676.9462232,42.47446638,2090.301068,137.6917128
1986,303.1145295,26.45848,1114.777792,68.7587664,679.168963,42.47446638,2097.061285,137.6917128
1987,303.8508042,26.45848,1118.578995,68.7587664,681.3917027,42.47446638,2103.821502,137.6917128
1988,304.5870789,26.45848,1122.380198,68.7587664,683.6144425,42.47446638,2110.581719,137.6917128
1989,305.3233535,26.45848,1126.1814,68.7587664,686.0237684,42.47446638,2117.528522,137.6917128
1990,303.8614042,26.45848,1119.694611,68.7587664,686.3237323,42.47446638,2109.879748,137.6917128
1991,302.3994549,26.45848,1119.697109,68.7587664,686.6951161,42.47446638,2108.79168,137.6917128
1992,300.9375055,26.45848,1117.571371,68.7587664,686.9236602,42.47446638,2105.432536,137.6917128
1993,299.4755562,26.45848,1115.605632,68.7587664,687.3974281,42.47446638,2102.478616,137.6917128
1994,298.0136069,26.45848,1113.639893,68.7587664,687.871196,42.47446638,2099.524696,137.6917128
1995,302.8475057,26.45848,1111.65487,68.7587664,688.3449639,42.47446638,2102.84734,137.6917128
1996,309.7352197,26.45848,1113.215326,68.7587664,688.8187318,42.47446638,2111.769278,137.6917128
1997,312.1564556,26.45848,1113.538395,68.7587664,698.8973653,42.47446638,2124.592215,137.6917128
1998,314.5776914,26.45848,1113.869196,68.7587664,708.9759988,42.47446638,2137.422886,137.6917128
1999,317.8995639,26.45848,1105.319506,68.7587664,718.3233478,42.47446638,2141.542418,137.6917128
2000,320.6129364,26.45848,1096.769816,68.7587664,727.6706968,42.47446638,2145.053449,137.6917128
2001,320.9230164,26.45848,1087.786685,68.7587664,736.2428241,42.47446638,2144.952526,137.6917128
2002,323.4981891,26.45848,1090.679162,68.7587664,733.9675275,42.47446638,2148.144878,137.6917128
2003,326.0970617,26.45848,1092.821638,68.7587664,731.742231,42.47446638,2150.660931,137.6917128
2004,329.8473386,26.45848,1094.964114,68.7587664,731.2169344,42.47446638,2156.028387,137.6917128
2005,330.0425381,26.45848,1097.106591,68.7587664,734.0916378,42.47446638,2161.240767,137.6917128
2006,331.1296762,26.45848,1101.239293,68.7587664,738.8582054,42.47446638,2171.227174,137.6917128
2007,321.2108323,26.45848,1104.089301,68.7587664,742.6330589,42.47446638,2167.933192,137.6917128
2008,329.5787315,26.45848,1111.270562,68.7587664,748.6241856,42.47446638,2189.473479,137.6917128
2009,330.9969125,26.45848,1106.359917,68.7587664,771.4600138,42.47446638,2208.816844,137.6917128
2010,333.7175956,26.45848,1106.495642,68.7587664,781.3807404,42.47446638,2221.593978,137.6917128
2011,335.3006263,26.45848,1111.410405,68.7587664,788.3118276,42.47446638,2235.022859,137.6917128
2012,334.768798,26.45848,1106.137915,68.7587664,787.3209171,42.47446638,2228.22763,137.6917128
2013,337.6575867,26.45848,1102.172662,68.7587664,799.7263181,42.47446638,2239.556567,137.6917128
2014,339.2046662,26.45848,1103.286739,68.7587664,797.7309121,42.47446638,2240.222317,137.6917128
2015,337.8159643,26.45848,1100.722575,68.7587664,791.0654291,42.47446638,2229.603969,137.6917128
2016,336.304171,26.45848,1101.285744,68.7587664,787.3922435,42.47446638,2224.982159,137.6917128
2017,337.5456094,26.45848,1097.963391,68.7587664,800.6635959,42.47446638,2236.172596,137.6917128
