Year,GRIS discharge,GRIS discharge uncertainty
1972,452.9105912,41.91159534
1973,452.9065943,38.64340183
1974,453.3170955,35.67554105
1975,454.4901107,33.02066312
1976,456.7278454,30.764263
1977,460.5886807,28.88025608
1978,464.5089447,27.17764944
1979,468.4487196,25.2337017
1980,472.3400906,23.30153605
1981,468.8311914,21.21221834
1982,465.3554766,19.04172955
1983,461.8508434,17.13774623
1984,458.4549028,16.10899435
1985,457.7231996,14.56145503
1986,451.7409694,11.78704368
1987,460.9493733,11.21609234
1988,460.3922663,10.63490599
1989,446.5946341,9.889538224
1990,446.4744192,9.783104014
1991,443.6800725,9.821513401
1992,453.5623751,10.31170025
1993,459.9719842,11.27237779
1994,456.1438789,11.31550751
1995,448.8283807,10.8235436
1996,449.4806742,10.19515632
1997,460.7722078,10.82719335
1998,455.7281629,10.76085982
1999,445.1858847,10.97704726
2000,456.3899094,11.45411494
2001,451.3448053,10.64771693
2002,475.6158407,10.73035846
2003,487.1338052,11.92580693
2004,507.6139456,11.59855651
2005,537.9381572,13.01768393
2006,524.0588245,13.44371209
2007,515.2536159,13.24088838
2008,517.0803378,13.12324017
2009,515.6986428,12.64541477
2010,523.9427372,12.89160606
2011,537.4563329,13.07006317
2012,543.2599165,13.49447365
2013,525.7243596,13.10238025
2014,533.6101482,12.97766147
2015,538.8868305,12.88478309
2016,538.2748648,12.597377
2017,539.9458893,12.01702411
2018,555.1155222,12.40505556
