Participant Surname,Experiment Group (altimetry/gravimetry/mass budget),Drainage Region Set (Rignot/Zwally),Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date (decimal years),Relative Mass Change (Gt),Relative Mass Change Uncertainty (Gt),Snowfall (Gt),Rainfall (Gt),Sublimation/Evaporation (Gt),Runoff (Gt), Melt (Gt)
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.08,78.8413,12.3763,80.4362,.0108,1.5847,.0014,.0956
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.17,35.7910,11.9496,36.4315,.0009,.6332,.0005,.0622
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.25,40.6648,9.3190,42.6765,.0594,2.0612,.0028,.1588
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.33,30.6482,1.8366,33.7121,.1984,3.0955,.1569,3.6286
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.42,46.5528,29.0952,61.7448,1.6311,8.6683,8.0844,26.8742
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.50,-57.8487,8.8484,41.6382,5.8957,12.6773,92.5509,161.1359
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.58,-139.8100,46.1586,35.9148,7.3974,8.8071,174.1579,223.0393
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.67,-34.6734,18.4890,51.6472,10.3750,5.5910,90.9713,96.3312
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.75,31.6899,19.3545,35.9169,1.5908,2.8630,2.9201,2.6021
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.83,49.8998,17.1507,50.8339,.3664,1.1580,.1366,.2343
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1950.92,68.4648,1.9597,69.6778,.3509,1.4425,.1026,.4069
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.00,55.0510,18.6723,55.4691,.3475,.7035,.0444,.2197
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.08,35.7156,14.8614,36.6392,.0000,.9125,.0023,.0754
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.17,48.1565,17.9992,48.5936,.0429,.4788,.0012,.1041
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.25,37.5600,16.4640,38.4633,.1066,.9724,.0173,.4677
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.33,38.7508,25.8055,41.9106,.0445,3.1864,.0050,.2830
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.42,58.5750,35.7186,73.5018,1.4673,10.1391,6.2058,22.0559
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.50,-60.9042,41.1340,36.3346,9.3406,10.3702,96.0502,166.5807
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.58,-101.9087,27.7136,44.7538,12.6911,8.0494,151.0388,183.5239
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.67,-31.3476,22.0483,39.7286,9.4176,4.6682,75.6728,81.3386
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.75,27.2774,13.2731,42.8588,8.1985,2.7650,20.9251,17.7569
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.83,51.0528,36.9479,52.4406,.8774,1.1197,1.1509,.6582
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1951.92,53.9944,37.0810,53.6874,.4931,.0936,.0739,.3249
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.00,30.8620,5.5098,31.2647,.0000,.3913,.0063,.1519
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.08,47.7157,15.6590,49.6060,.0213,1.9103,.0029,.1364
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.17,51.5180,31.4922,51.9169,.4006,.6677,.1181,.1610
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.25,44.8605,35.9043,45.6051,.0825,.8030,.0137,.2372
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.33,33.7033,10.8857,37.1894,.0882,3.4822,.0776,.8048
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.42,40.0424,16.4174,52.8114,1.0343,8.9237,4.8455,23.2036
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.50,-24.6829,9.3013,38.3893,4.2962,9.5630,57.6552,90.6840
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.58,-62.7223,14.8399,65.2302,23.3254,11.1718,139.8169,178.0456
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.67,-60.0784,26.5016,38.2602,9.1888,5.9404,101.4160,115.0568
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.75,68.0697,26.9227,93.6535,23.8782,2.4371,46.8804,43.7823
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.83,93.3166,57.1097,94.1045,1.7693,1.2145,1.3103,1.0142
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1952.92,62.0747,31.5481,61.8548,.3993,.0970,.0795,.4423
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1953.00,49.0760,30.8112,49.3843,.1710,.3839,.0746,.2822
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1953.08,57.2833,8.6969,57.4513,.1175,.2480,.0275,.1387
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1953.17,53.5526,7.1456,53.9398,.0454,.4127,.0065,.0993
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1953.25,50.3725,17.0254,51.4532,.0092,1.0926,.0032,.0873
fettweis,Surface Mass Balance,Zwally,9.9,1765786.50,1707638.50,1953.33,32.0246,14.0979,34.5303,.9358,3.1423,.2690,2.4399
