Participant Surname,Experiment Group (altimetry/gravimetry/mass budget),Drainage Region Set (Rignot/Zwally),Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date (decimal years),Relative Mass Change (Gt),Relative Mass Change Uncertainty (Gt),Snowfall (Gt),Rainfall (Gt),Sublimation/Evaporation (Gt),Runoff (Gt), Melt (Gt)
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.08,106.8248,4.5941,135.0269,2.2883,28.3814,2.1973,24.9618
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.17,133.2862,5.0637,146.0445,.5726,12.6801,.6163,2.1523
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.25,240.9454,2.0075,244.0669,.6093,3.5075,.2427,.7102
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.33,190.6418,2.3704,192.8741,.1527,2.4731,.0096,.0456
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.42,225.4137,2.1677,223.1426,.0008,-2.2085,.0000,.0139
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.50,199.9443,3.1980,199.3739,.0005,-.5439,.0000,.0114
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.58,208.5224,2.1795,207.3888,.0107,-1.1528,.0000,.0091
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.67,216.8780,3.0160,216.2856,.0013,-.4299,.0000,.0086
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.75,190.3316,2.1368,191.6182,.0310,1.2288,.0000,.0095
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.83,191.5705,3.4444,198.1252,.0041,6.5872,.0000,.0167
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1979.92,158.0153,3.3724,185.4435,.6902,27.9574,.2418,4.5298
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.00,86.2768,4.2960,127.9666,.6452,40.0447,2.2385,27.0382
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.08,126.7001,5.1459,159.4125,1.1458,31.1066,2.7505,28.3494
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.17,163.6283,4.8086,174.9583,.7686,11.1422,1.0394,4.0729
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.25,247.8607,2.7403,251.1084,.1474,3.4156,.0473,.1712
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.33,205.3974,3.2314,204.3545,.0088,-1.0468,.0000,.0334
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.42,256.4331,3.2909,253.7419,.0298,-2.5100,.0000,.0213
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.50,206.4880,2.9634,205.7098,.0001,-.7899,.0000,.0261
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.58,272.3813,3.0414,270.2540,.0005,-2.0876,.0000,.0202
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.67,186.2224,3.1129,185.9141,.0003,-.2724,.0000,.0076
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.75,189.8844,3.6584,190.9180,.0241,1.2007,.0000,.0106
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.83,173.7405,2.3216,183.1101,.0155,9.4023,.0000,.0290
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1980.92,91.0986,7.4072,119.7379,.0010,28.5533,.1354,.7417
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.00,107.2393,4.5642,145.2993,.3710,36.9577,1.5823,13.5333
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.08,119.4025,5.4744,151.8009,.4061,31.0769,1.8973,14.4430
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.17,152.5927,4.6287,168.7556,.3512,15.6197,.8674,2.2485
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.25,202.7842,2.1570,207.9605,.3613,5.6260,.0527,.3130
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.33,252.8508,3.0101,251.4008,.3200,-1.2231,.0327,.0807
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.42,235.0974,2.3449,234.4181,.1060,-.5329,.0000,.0291
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.50,321.6339,2.1517,319.9154,.0145,-1.6251,.0000,.0049
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.58,274.0267,2.2004,273.8323,.0465,-.0397,.0000,.0065
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.67,229.6196,3.7248,230.1772,.0440,.5998,.0000,.0089
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.75,201.9394,3.4083,202.9788,.0028,1.1235,.0000,.0029
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.83,164.6498,4.8297,170.3236,.0518,5.6925,.0004,.0519
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1981.92,148.7804,3.7037,172.2114,.2230,23.7799,.0885,.6601
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.00,131.8188,4.8660,170.3218,.3467,38.3251,.4853,8.5284
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.08,100.0645,4.5618,132.1625,1.7049,31.3849,2.4295,22.8329
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.17,109.2830,5.2696,121.8524,.5330,12.3523,.7202,2.6902
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.25,205.1611,3.3650,206.2688,.8464,1.7559,.2896,.5493
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.33,228.4473,1.9174,229.0114,.4712,1.0387,.0363,.0986
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.42,260.8459,2.3836,259.4692,.1474,-1.2052,.0004,.0454
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.50,326.6232,1.9543,324.1745,.0077,-2.4364,.0000,.0163
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.58,231.0488,3.9244,231.4240,.0008,.4201,.0000,.0130
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.67,195.4875,2.4067,193.6686,.0030,-1.8657,.0000,.0112
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.75,218.4712,1.9560,217.9249,.0199,-.4168,.0000,.0110
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.83,229.8961,2.2252,238.6564,.0348,8.7783,.0000,.0280
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1982.92,129.7435,3.8196,156.2468,.0467,26.6230,.0144,.6670
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.00,104.2566,6.5091,151.1085,.8971,46.0220,1.6572,36.5195
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.08,106.7366,4.4383,139.7589,.8969,30.8585,3.0159,28.8031
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.17,140.1304,5.0767,153.9989,.3262,13.5485,.6905,3.6120
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.25,186.2012,4.6622,189.1231,.3322,3.2954,.0092,.1844
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.33,235.5775,2.2140,236.0610,.2166,.7903,.0022,.1187
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.42,216.7950,2.0615,218.8245,.2606,2.3055,.0000,.0647
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.50,240.6903,2.6418,238.6195,.0538,-2.0006,.0010,.0194
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.58,172.4764,2.3420,171.0668,.0302,-1.2827,.0002,.0138
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.67,225.8445,1.7709,226.4459,.0692,.7773,.0022,.0149
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.75,260.0342,2.5214,259.7022,.0106,-.3251,.0000,.0099
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.83,165.6270,2.8642,173.5393,.0253,8.0206,.0000,.0351
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1983.92,124.4649,3.7997,144.3128,.2902,20.2746,.0199,.5250
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.00,115.3569,3.9027,157.1873,1.3134,41.7542,1.3490,13.1291
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.08,95.1753,7.5369,132.3040,.8581,36.6104,1.4966,16.6690
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.17,134.3230,5.1383,147.0165,.5319,12.5271,.7219,3.4943
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.25,263.0971,2.2745,265.0090,.7596,2.4972,.1787,.6701
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.33,211.1219,3.0915,212.0273,.1674,.9652,.0436,.0970
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.42,273.2712,2.4166,272.8194,.0158,-.3444,.0000,.0255
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.50,186.1397,2.4995,184.2502,.0003,-1.7844,.0000,.0151
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.58,241.9274,1.8000,242.0213,.0039,.1761,.0000,.0140
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.67,234.7824,1.9984,235.4741,.0309,.7275,.0000,.0094
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.75,229.4549,1.5677,230.8740,.0803,1.5786,.0001,.0242
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.83,202.4915,3.7488,208.1318,.0018,5.6597,.0000,.0506
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1984.92,136.5214,3.5626,161.3754,.0156,24.9715,.0133,.5315
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.00,136.8034,3.4145,182.6495,2.2319,45.8266,2.2756,30.3677
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.08,99.7892,3.4221,138.7593,2.7869,38.3995,3.4161,27.0997
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.17,140.5560,5.4880,153.4699,.2107,12.6595,.5381,2.6593
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.25,196.0665,3.3918,202.4311,.0454,6.4658,.0038,.1097
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.33,201.7364,3.0867,203.2684,.1836,1.6955,.0145,.0828
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.42,203.3064,2.5926,201.9807,.0080,-1.2769,.0001,.0294
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.50,261.0952,2.3601,261.1275,.0135,.1294,.0000,.0249
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.58,274.6942,1.5846,272.8293,.0107,-1.7852,.0000,.0223
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.67,229.6591,2.2018,229.0932,.0020,-.5631,.0000,.0127
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.75,205.0239,2.0585,205.3354,.0131,.4553,.0000,.0127
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.83,199.3387,1.8631,207.3506,.3126,8.3296,.0003,.2982
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1985.92,200.4112,2.9649,216.5914,.0605,16.3230,.0264,1.6937
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1986.00,138.3058,3.9253,179.7521,.3675,41.4821,.3838,6.7726
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1986.08,97.7727,7.7508,133.5978,.3021,35.3222,.8797,10.7203
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1986.17,143.7580,4.7383,165.1595,.7114,21.1158,.9525,5.0143
kittel_amory_agosta,Surface Mass Balance,Zwally,ais,12596678.00,12208427.00,1986.25,188.7434,4.8159,192.4392,.2738,3.9271,.1316,.3903
