Surname,Experiment Group,Drainage Region Set,Drainage Region ID,Drainage Region Area (km2),Drainage Region Area Observed (km2),Date (decimal years),Rate of Mass Change (Gt/month),Rate of Mass Change Uncertainty (Gt/month)
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.041,5.338,1.112
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.123,2.216,0.474
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.205,11.240,2.068
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.290,9.243,1.702
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.371,12.090,2.271
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.456,13.726,2.451
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.538,2.463,0.517
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.623,8.130,1.680
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.708,13.172,2.430
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.790,12.348,2.325
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.874,11.612,2.064
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1980.956,10.970,1.574
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.041,7.684,1.285
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.123,11.199,1.940
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.203,14.371,2.154
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.288,7.307,1.488
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.370,14.376,2.568
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.455,13.402,2.304
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.537,13.923,2.287
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.622,18.441,2.831
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.707,9.919,1.894
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.789,4.354,0.930
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.874,5.993,1.041
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1981.956,3.206,0.706
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.041,3.523,0.756
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.123,7.057,1.244
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.203,10.873,1.896
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.288,21.816,3.084
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.370,11.207,1.895
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.455,15.741,2.677
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.537,7.267,1.523
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.622,9.384,1.774
Hansen,SBM,Zwally,1.000,462960.000,462910.482,1982.707,9.700,1.860
