Participant-Surname,Experiment-Group,Drainage-Region-Set,Drainage-Region-ID,Drainage-Region-Area-(km2),Drainage-Region-Area-Observed-(km2),Start-Date-(decimal-years),End-Date-(decimal-years),Rate-of-Mass-Change-(Gt/yr),Rate-of-Mass-Change-Uncertainty-(Gt/yr)
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1980.0000, 1980.9973,  0.89124E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1981.0000, 1981.9973,  0.65066E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1982.0000, 1982.9973,  0.41730E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1983.0000, 1983.9973,  0.61782E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1984.0000, 1984.9973,  0.61679E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1985.0000, 1985.9973,  0.72991E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1986.0000, 1986.9973,  0.88285E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1987.0000, 1987.9973,  0.63393E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1988.0000, 1988.9973,  0.81394E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1989.0000, 1989.9973,  0.60554E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1990.0000, 1990.9973,  0.60790E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1991.0000, 1991.9973,  0.72622E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1992.0000, 1992.9973,  0.65123E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1993.0000, 1993.9973,  0.48225E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1994.0000, 1994.9973,  0.68222E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1995.0000, 1995.9973,  0.71822E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1996.0000, 1996.9973,  0.10884E+03,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1997.0000, 1997.9973,  0.93623E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1998.0000, 1998.9973,  0.56287E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 1999.0000, 1999.9973,  0.67209E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 2000.0000, 2000.9973,  0.87209E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 2001.0000, 2001.9973,  0.80854E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 2002.0000, 2002.9973,  0.33192E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 2003.0000, 2003.9973,  0.80228E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 2004.0000, 2004.9973,  0.82794E+02,  0.52180E+01
Niwano,SMB,Rignot,NW,  0.26090E+06,  0.26090E+06, 2005.0000, 2005.9973,  0.84777E+02,  0.52180E+01
