Participant-Surname,Experiment-Group,Drainage-Region-Set,Drainage-Region-ID,Drainage-Region-Area-(km2),Drainage-Region-Area-Observed-(km2),Start-Date-(decimal-years),End-Date-(decimal-years),Rate-of-Mass-Change-(Gt/yr),Rate-of-Mass-Change-Uncertainty-(Gt/yr)
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1979.4987, 1980.4958, -0.56594E+01,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1980.4987, 1981.4958,  0.16829E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1981.4987, 1982.4958,  0.16000E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1982.4987, 1983.4958,  0.41191E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1983.4987, 1984.4958, -0.63226E+00,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1984.4987, 1985.4958, -0.20318E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1985.4987, 1986.4958,  0.10541E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1986.4987, 1987.4958,  0.30574E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1987.4987, 1988.4958,  0.17672E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1988.4987, 1989.4958,  0.29609E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1989.4987, 1990.4958,  0.17970E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1990.4987, 1991.4958,  0.23065E+02,  0.36033E+02
Niwano,SMB,Rignot, Jpp-K,  0.21196E+07,  0.21196E+07, 1991.4987, 1992.4958,  0.12392E+02,  0.36033E+02
